userID,articleID
USER_0000,ARTICLE_0411
USER_0000,ARTICLE_2255
USER_0000,ARTICLE_2316
USER_0000,ARTICLE_1260
USER_0000,ARTICLE_2834
USER_0001,ARTICLE_2865
USER_0001,ARTICLE_2406
USER_0001,ARTICLE_0202
USER_0001,ARTICLE_2087
USER_0001,ARTICLE_2311
USER_0002,ARTICLE_2803
USER_0002,ARTICLE_1000
USER_0002,ARTICLE_1910
USER_0002,ARTICLE_1614
USER_0002,ARTICLE_2782
USER_0003,ARTICLE_0958
USER_0003,ARTICLE_1092
USER_0003,ARTICLE_2115
USER_0003,ARTICLE_1861
USER_0003,ARTICLE_0003
USER_0004,ARTICLE_0912
USER_0004,ARTICLE_1947
USER_0004,ARTICLE_2085
USER_0004,ARTICLE_1439
USER_0004,ARTICLE_0800
USER_0005,ARTICLE_2223
USER_0005,ARTICLE_1577
USER_0005,ARTICLE_0693
USER_0005,ARTICLE_2259
USER_0005,ARTICLE_0564
USER_0006,ARTICLE_1624
USER_0006,ARTICLE_2747
USER_0006,ARTICLE_1717
USER_0006,ARTICLE_0957
USER_0006,ARTICLE_0758
USER_0007,ARTICLE_0699
USER_0007,ARTICLE_0878
USER_0007,ARTICLE_2651
USER_0007,ARTICLE_0265
USER_0007,ARTICLE_2617
USER_0008,ARTICLE_1624
USER_0008,ARTICLE_0399
USER_0008,ARTICLE_2012
USER_0008,ARTICLE_1743
USER_0008,ARTICLE_1924
USER_0009,ARTICLE_2868
USER_0009,ARTICLE_1587
USER_0009,ARTICLE_0009
USER_0009,ARTICLE_0590
USER_0009,ARTICLE_1597
USER_0010,ARTICLE_2698
USER_0010,ARTICLE_2931
USER_0010,ARTICLE_2360
USER_0010,ARTICLE_0107
USER_0010,ARTICLE_1171
USER_0011,ARTICLE_2782
USER_0011,ARTICLE_0729
USER_0011,ARTICLE_2921
USER_0011,ARTICLE_1965
USER_0011,ARTICLE_2576
USER_0012,ARTICLE_2099
USER_0012,ARTICLE_1541
USER_0012,ARTICLE_2024
USER_0012,ARTICLE_1381
USER_0012,ARTICLE_0502
USER_0013,ARTICLE_2844
USER_0013,ARTICLE_0706
USER_0013,ARTICLE_0009
USER_0013,ARTICLE_1523
USER_0013,ARTICLE_2259
USER_0014,ARTICLE_2789
USER_0014,ARTICLE_1890
USER_0014,ARTICLE_0388
USER_0014,ARTICLE_2886
USER_0014,ARTICLE_2068
USER_0015,ARTICLE_1601
USER_0015,ARTICLE_2493
USER_0015,ARTICLE_1105
USER_0015,ARTICLE_0643
USER_0015,ARTICLE_2868
USER_0016,ARTICLE_0520
USER_0016,ARTICLE_0553
USER_0016,ARTICLE_2936
USER_0016,ARTICLE_0865
USER_0016,ARTICLE_2406
USER_0017,ARTICLE_0139
USER_0017,ARTICLE_1641
USER_0017,ARTICLE_2345
USER_0017,ARTICLE_2577
USER_0017,ARTICLE_0349
USER_0018,ARTICLE_1159
USER_0018,ARTICLE_0019
USER_0018,ARTICLE_2120
USER_0018,ARTICLE_2702
USER_0018,ARTICLE_1114
USER_0019,ARTICLE_1092
USER_0019,ARTICLE_0332
USER_0019,ARTICLE_1680
USER_0019,ARTICLE_0218
USER_0019,ARTICLE_2374
USER_0020,ARTICLE_2118
USER_0020,ARTICLE_2965
USER_0020,ARTICLE_1682
USER_0020,ARTICLE_2722
USER_0020,ARTICLE_1247
USER_0021,ARTICLE_2911
USER_0021,ARTICLE_0385
USER_0021,ARTICLE_1851
USER_0021,ARTICLE_0780
USER_0021,ARTICLE_2309
USER_0022,ARTICLE_2245
USER_0022,ARTICLE_2868
USER_0022,ARTICLE_2485
USER_0022,ARTICLE_0929
USER_0022,ARTICLE_2085
USER_0023,ARTICLE_0610
USER_0023,ARTICLE_2021
USER_0023,ARTICLE_2894
USER_0023,ARTICLE_2492
USER_0023,ARTICLE_0769
USER_0024,ARTICLE_0389
USER_0024,ARTICLE_1824
USER_0024,ARTICLE_2782
USER_0024,ARTICLE_0885
USER_0024,ARTICLE_2684
USER_0025,ARTICLE_1159
USER_0025,ARTICLE_1499
USER_0025,ARTICLE_0886
USER_0025,ARTICLE_1601
USER_0025,ARTICLE_2485
USER_0026,ARTICLE_0968
USER_0026,ARTICLE_0220
USER_0026,ARTICLE_1568
USER_0026,ARTICLE_2583
USER_0026,ARTICLE_2364
USER_0027,ARTICLE_0446
USER_0027,ARTICLE_1648
USER_0027,ARTICLE_2428
USER_0027,ARTICLE_2459
USER_0027,ARTICLE_2456
USER_0028,ARTICLE_2279
USER_0028,ARTICLE_1824
USER_0028,ARTICLE_1333
USER_0028,ARTICLE_2861
USER_0028,ARTICLE_2045
USER_0029,ARTICLE_2889
USER_0029,ARTICLE_0411
USER_0029,ARTICLE_0030
USER_0029,ARTICLE_1472
USER_0029,ARTICLE_0894
USER_0030,ARTICLE_1541
USER_0030,ARTICLE_2052
USER_0030,ARTICLE_0031
USER_0030,ARTICLE_1863
USER_0030,ARTICLE_1727
USER_0031,ARTICLE_0071
USER_0031,ARTICLE_0588
USER_0031,ARTICLE_1910
USER_0031,ARTICLE_2782
USER_0031,ARTICLE_1568
USER_0032,ARTICLE_2958
USER_0032,ARTICLE_0118
USER_0032,ARTICLE_1028
USER_0032,ARTICLE_1408
USER_0032,ARTICLE_2087
USER_0033,ARTICLE_2360
USER_0033,ARTICLE_0220
USER_0033,ARTICLE_2259
USER_0033,ARTICLE_1108
USER_0033,ARTICLE_0744
USER_0034,ARTICLE_1624
USER_0034,ARTICLE_2490
USER_0034,ARTICLE_0535
USER_0034,ARTICLE_2045
USER_0034,ARTICLE_0035
USER_0035,ARTICLE_1624
USER_0035,ARTICLE_2151
USER_0035,ARTICLE_1140
USER_0035,ARTICLE_0220
USER_0035,ARTICLE_2045
USER_0036,ARTICLE_2642
USER_0036,ARTICLE_2641
USER_0036,ARTICLE_0406
USER_0036,ARTICLE_2727
USER_0036,ARTICLE_2394
USER_0037,ARTICLE_1413
USER_0037,ARTICLE_0838
USER_0037,ARTICLE_0040
USER_0037,ARTICLE_0474
USER_0037,ARTICLE_1504
USER_0038,ARTICLE_1460
USER_0038,ARTICLE_0756
USER_0038,ARTICLE_0041
USER_0038,ARTICLE_2364
USER_0038,ARTICLE_2229
USER_0039,ARTICLE_2592
USER_0039,ARTICLE_1824
USER_0039,ARTICLE_0682
USER_0039,ARTICLE_1443
USER_0039,ARTICLE_0286
USER_0040,ARTICLE_0446
USER_0040,ARTICLE_0439
USER_0040,ARTICLE_0399
USER_0040,ARTICLE_0553
